packetNo,delay,isWrong,repeats
1275,81,0,0
1276,84,0,0
1277,81,0,0
1278,82,0,0
1279,84,0,0
1280,80,0,0
1281,85,0,0
1282,81,0,0
1283,83,0,0
1284,164,1,1
1285,89,0,0
1286,85,0,0
1287,79,0,0
1288,85,0,0
1289,80,0,0
1290,87,0,0
1291,80,0,0
1292,83,0,0
1293,86,0,0
1294,76,0,0
1295,86,0,0
1296,81,0,0
1297,81,0,0
1298,82,0,0
1299,82,0,0
1300,93,0,0
1301,82,0,0
1302,174,1,1
1303,78,0,0
1304,84,0,0
1305,80,0,0
1306,82,0,0
1307,87,0,0
1308,79,0,0
1309,86,0,0
1310,82,0,0
1311,84,0,0
1312,84,0,0
1313,80,0,0
1314,85,0,0
1315,77,0,0
1316,173,1,1
1317,79,0,0
1318,88,0,0
1319,167,1,1
1320,86,0,0
1321,80,0,0
1322,82,0,0
1323,79,0,0
1324,82,0,0
1325,88,0,0
1326,86,0,0
1327,89,0,0
1328,163,1,1
1329,82,0,0
1330,81,0,0
1331,86,0,0
1332,164,1,1
1333,85,0,0
1334,84,0,0
1335,91,0,0
1336,82,0,0
1337,82,0,0
1338,85,0,0
1339,84,0,0
1340,85,0,0
1341,82,0,0
1342,259,1,2
1343,194,1,1
1344,96,0,0
1345,101,0,0
1346,92,0,0
1347,100,0,0
1348,94,0,0
1349,94,0,0
1350,98,0,0
1351,92,0,0
1352,100,0,0
1353,96,0,0
1354,92,0,0
1355,100,0,0
1356,93,0,0
1357,95,0,0
1358,94,0,0
1359,93,0,0
1360,190,1,1
1361,101,0,0
1362,95,0,0
1363,88,0,0
1364,87,0,0
1365,78,0,0
1366,93,0,0
1367,172,1,1
1368,88,0,0
1369,176,1,1
1370,83,0,0
1371,88,0,0
1372,97,0,0
1373,83,0,0
1374,87,0,0
1375,86,0,0
1376,173,1,1
1377,82,0,0
1378,90,0,0
1379,87,0,0
1380,82,0,0
1381,87,0,0
1382,81,0,0
1383,170,1,1
1384,82,0,0
1385,89,0,0
1386,92,0,0
1387,167,1,1
1388,171,1,1
1389,82,0,0
1390,84,0,0
1391,77,0,0
1392,83,0,0
1393,87,0,0
1394,81,0,0
1395,86,0,0
1396,82,0,0
1397,83,0,0
1398,89,0,0
1399,78,0,0
1400,92,0,0
1401,82,0,0
1402,81,0,0
1403,86,0,0
1404,81,0,0
1405,86,0,0
1406,258,1,2
1407,82,0,0
1408,87,0,0
1409,81,0,0
1410,80,0,0
1411,87,0,0
1412,83,0,0
1413,99,0,0
1414,82,0,0
1415,80,0,0
1416,86,0,0
1417,80,0,0
1418,86,0,0
1419,80,0,0
1420,81,0,0
1421,90,0,0
1422,89,0,0
1423,164,1,1
1424,80,0,0
1425,86,0,0
1426,81,0,0
1427,89,0,0
1428,80,0,0
1429,84,0,0
1430,83,0,0
1431,85,0,0
1432,89,0,0
1433,84,0,0
1434,261,1,2
1435,88,0,0
1436,83,0,0
1437,85,0,0
1438,85,0,0
1439,82,0,0
1440,85,0,0
1441,81,0,0
1442,88,0,0
1443,89,0,0
1444,82,0,0
1445,86,0,0
1446,82,0,0
1447,82,0,0
1448,85,0,0
1449,83,0,0
1450,89,0,0
1451,79,0,0
1452,89,0,0
1453,86,0,0
1454,80,0,0
1455,88,0,0
1456,80,0,0
1457,80,0,0
1458,89,0,0
1459,82,0,0
1460,85,0,0
1461,79,0,0
1462,170,1,1
1463,170,1,1
1464,78,0,0
1465,85,0,0
1466,88,0,0
1467,81,0,0
1468,88,0,0
1469,82,0,0
1470,80,0,0
1471,90,0,0
1472,86,0,0
1473,91,0,0
1474,93,0,0
1475,82,0,0
1476,168,1,1
1477,85,0,0
1478,164,1,1
1479,91,0,0
1480,81,0,0
1481,91,0,0
1482,91,0,0
1483,92,0,0
1484,104,0,0
1485,91,0,0
1486,103,0,0
1487,94,0,0
1488,95,0,0
1489,99,0,0
1490,94,0,0
1491,101,0,0
1492,95,0,0
1493,97,0,0
1494,102,0,0
1495,90,0,0
1496,101,0,0
1497,92,0,0
1498,100,0,0
1499,103,0,0
1500,92,0,0
1501,98,0,0
1502,95,0,0
1503,89,0,0
1504,100,0,0
1505,96,0,0
1506,103,0,0
1507,96,0,0
1508,95,0,0
1509,193,1,1
1510,100,0,0
1511,93,0,0
1512,96,0,0
1513,98,0,0
1514,103,0,0
1515,104,0,0
1516,93,0,0
1517,89,0,0
1518,102,0,0
1519,92,0,0
1520,99,0,0
1521,93,0,0
1522,92,0,0
1523,101,0,0
1524,93,0,0
1525,100,0,0
1526,92,0,0
1527,92,0,0
1528,99,0,0
1529,83,0,0
1530,86,0,0
1531,83,0,0
1532,83,0,0
1533,89,0,0
1534,82,0,0
1535,87,0,0
1536,80,0,0
1537,84,0,0
1538,89,0,0
1539,85,0,0
1540,86,0,0
1541,80,0,0
1542,95,0,0
1543,254,1,2
1544,82,0,0
1545,86,0,0
1546,173,1,1
1547,89,0,0
1548,86,0,0
1549,83,0,0
1550,174,1,1
1551,82,0,0
1552,78,0,0
1553,86,0,0
1554,88,0,0
1555,82,0,0
1556,86,0,0
1557,84,0,0
1558,80,0,0
1559,100,0,0
1560,82,0,0
1561,168,1,1
1562,85,0,0
1563,88,0,0
1564,256,1,2
1565,87,0,0
1566,85,0,0
1567,81,0,0
1568,87,0,0
1569,80,0,0
1570,172,1,1
1571,176,1,1
1572,81,0,0
1573,80,0,0
1574,88,0,0
1575,81,0,0
1576,83,0,0
1577,82,0,0
1578,82,0,0
1579,85,0,0
1580,83,0,0
1581,184,1,1
1582,96,0,0
1583,99,0,0
1584,289,1,2
1585,98,0,0
1586,295,1,2
1587,96,0,0
1588,97,0,0
1589,109,0,0
1590,196,1,1
1591,94,0,0
1592,99,0,0
1593,102,0,0
1594,94,0,0
1595,118,0,0
1596,186,1,1
1597,109,0,0
1598,95,0,0
1599,105,0,0
1600,97,0,0
1601,93,0,0
1602,102,0,0
1603,97,0,0
1604,100,0,0
1605,93,0,0
1606,92,0,0
1607,104,0,0
1608,93,0,0
1609,286,1,2
1610,95,0,0
1611,90,0,0
1612,101,0,0
1613,284,1,2
1614,102,0,0
1615,99,0,0
1616,88,0,0
1617,91,0,0
1618,98,0,0
1619,89,0,0
1620,97,0,0
1621,90,0,0
1622,88,0,0
1623,96,0,0
1624,91,0,0
1625,98,0,0
1626,91,0,0
1627,94,0,0
1628,104,0,0
1629,90,0,0
1630,98,0,0
1631,96,0,0
1632,92,0,0
1633,105,0,0
1634,100,0,0
1635,386,1,3
1636,89,0,0
1637,97,0,0
1638,91,0,0
1639,88,0,0
1640,101,0,0
1641,95,0,0
1642,101,0,0
1643,94,0,0
1644,93,0,0
1645,101,0,0
1646,92,0,0
1647,100,0,0
1648,95,0,0
1649,92,0,0
1650,103,0,0
1651,300,1,2
1652,90,0,0
1653,101,0,0
1654,100,0,0
1655,194,1,1
1656,91,0,0
1657,96,0,0
